compression mode LiteralsLengths - FseCompressed(State,Sym,BL,NB
0xe2,s0,0x132,1
0xe3,s6,0x00,5
0xe4,s1,0xf8,3
0xe5,s0,0x134,1
0xe6,s0,0x136,1
0xe7,s2,0x1d0,4
0xe8,s0,0x138,1
0xe9,s0,0x13a,1
0xea,s5,0xe0,5
0xeb,s1,0x100,3
0xec,s0,0x13c,1
0xed,s0,0x13e,1
0xee,s2,0x1e0,4
0xef,s0,0x140,1
0xf0,s0,0x142,1
0xf1,s4,0x1c0,5
0xf2,s1,0x108,3
0xf3,s0,0x144,1
0xf4,s12,0x00,8
0xf5,s2,0x1f0,4
0xf6,s0,0x146,1
0xf7,s0,0x148,1
0xf8,s3,0x100,4
0xf9,s0,0x14a,1
0xfa,s0,0x14c,1
0xfb,s7,0x140,6
0xfc,s1,0x110,3
0xfd,s0,0x14e,1
0xfe,s0,0x150,1
0xff,s3,0x110,4
0x100,s0,0x152,1
0x101,s0,0x154,1
0x102,s5,0x100,5
0x103,s1,0x118,3
0x104,s0,0x156,1
0x105,s0,0x158,1
0x106,s2,0x00,3
0x107,s0,0x15a,1
0x108,s0,0x15c,1
0x109,s4,0x1e0,5
0x10a,s1,0x120,3
0x10b,s0,0x15e,1
0x10c,s0,0x160,1
0x10d,s2,0x08,3
0x10e,s0,0x162,1
0x10f,s0,0x164,1
0x110,s4,0x00,4
0x111,s0,0x166,1
0x112,s0,0x168,1
0x113,s8,0x80,6
0x114,s1,0x128,3
0x115,s0,0x16a,1
0x116,s0,0x16c,1
0x117,s3,0x120,4
0x118,s0,0x16e,1
0x119,s0,0x170,1
0x11a,s6,0x20,5
0x11b,s1,0x130,3
0x11c,s0,0x172,1
0x11d,s0,0x174,1
0x11e,s2,0x10,3
0x11f,s0,0x176,1
0x120,s0,0x178,1
0x121,s5,0x120,5
0x122,s1,0x138,3
0x123,s0,0x17a,1
0x124,s0,0x17c,1
0x125,s2,0x18,3
0x126,s0,0x17e,1
