compression mode LiteralsLengths - FseCompressed(State,Sym,BL,NB
8 14 3 5066
0 9 2 5067
0 14 5 5068
0 9 2 5069
0 10 2 5070
3 13 4 5071
6 15 2 5072
0 6 3 5073
3 13 2 5074
0 12 2 5075
8 13 3 5076
0 13 6 5077
0 11 3 5078
1 13 4 5079
0 11 2 5080
1 9 4 5081
0 13 2 5082
0 13 2 5083
3 6 2 5084
0 10 2 5085
2 13 2 5086
0 13 2 5087
4 15 3 5088
0 13 2 5089
5 9 7 5090
0 14 2 5091
0 12 8 5092
5 10 3 5093
1 12 2 5094
1 14 2 5095
0 13 3 5096
2 12 12 5097
0 11 2 5098
7 14 5 5099
2 10 3 5100
0 14 2 5101
1 14 3 5102
8 9 2 5103
1 12 6 5104
0 13 2 5105
1 14 2 5106
3 12 6 5107
2 13 2 5108
1 11 6 5109
1 11 3 5110
0 8 3 5111
3 11 4 5112
3 12 2 5113
2 12 12 5114
1 0 3 5115
0 15 13 5116
0 15 2 5117
0 12 6 5118
0 11 9 5119
0 5 8 5120
0 13 3 5121
0 15 3 5122
0 13 6 5123
0 10 2 5124
7 10 2 5125
6 11 2 5126
4 13 4 5127
12 11 2 5128
7 15 4 5129
0 10 2 5130
0 9 2 5131
0 11 3 5132
0 14 10 5133
2 12 2 5134
6 10 2 5135
0 11 4 5136
0 14 4 5137
0 14 2 5138
2 15 2 5139
0 12 2 5140
0 14 2 5141
5 11 6 5142
0 13 2 5143
1 12 2 5144
0 14 2 5145
0 14 2 5146
0 13 4 5147
0 14 5 5148
8 15 5 5149
0 14 5 5150
2 14 3 5151
5 11 2 5152
0 10 2 5153
0 12 3 5154
7 15 3 5155
1 13 5 5156
0 9 2 5157
10 11 2 5158
2 14 3 5159
3 12 2 5160
0 11 2 5161
4 13 2 5162
0 14 3 5163
1 11 5 5164
0 12 2 5165
4 13 2 5166
3 15 2 5167
0 8 3 5168
7 14 6 5169
3 15 7 5170
0 13 2 5171
0 13 3 5172
0 14 2 5173
1 13 2 5174
1 14 2 5175
0 8 2 5176
5 13 2 5177
4 13 4 5178
0 13 11 5179
1 14 6 5180
2 14 2 5181
0 13 3 5182
2 14 2 5183
0 10 2 5184
0 13 5 5185
0 12 3 5186
0 12 4 5187
0 11 5 5188
0 8 2 5189
5 12 2 5190
0 13 3 5191
0 14 3 5192
0 13 6 5193
0 13 2 5194
0 12 4 5195
8 14 2 5196
1 10 2 5197
3 15 6 5198
0 14 5 5199
6 12 2 5200
7 12 2 5201
0 11 3 5202
0 8 2 5203
1 14 3 5204
0 13 2 5205
0 14 2 5206
0 13 3 5207
0 15 5 5208
0 13 3 5209
0 11 3 5210
3 13 6 5211
0 15 4 5212
0 11 6 5213
2 14 8 5214
0 14 2 5215
0 14 4 5216
0 14 6 5217
0 11 5 5218
0 11 2 5219
0 12 9 5220
0 12 2 5221
0 14 6 5222
0 9 2 5223
0 9 3 5224
0 12 6 5225
1 0 3 5226
0 11 2 5227
0 12 2 5228
0 13 7 5229
0 14 5 5230
4 13 6 5231
0 13 2 5232
0 13 2 5233
0 12 5 5234
2 14 9 5235
9 15 4 5236
0 10 6 5237
0 8 2 5238
5 13 4 5239
3 9 2 5240
1 14 3 5241
0 11 3 5242
2 15 4 5243
1 11 2 5244
0 13 7 5245
1 11 3 5246
0 9 2 5247
0 11 5 5248
0 12 3 5249
2 11 3 5250
0 8 5 5251
4 10 5 5252
3 14 5 5253
0 11 2 5254
0 14 3 5255
5 12 3 5256
0 14 10 5257
0 14 2 5258
0 15 8 5259
0 14 3 5260
0 13 6 5261
4 12 2 5262
8 3 4 5263
7 14 6 5264
6 12 8 5265
0 14 2 5266
8 14 2 5267
2 12 3 5268
5 10 3 5269
0 12 2 5270
0 10 2 5271
0 13 7 5272
8 14 2 5273
19 13 3 5274
3 14 2 5275
0 14 5 5276
1 15 3 5277
5 15 3 5278
1 13 5 5279
4 13 4 5280
3 14 12 5281
0 12 2 5282
5 12 5 5283
0 10 6 5284
2 14 3 5285
1 11 4 5286
0 11 2 5287
1 11 9 5288
0 10 6 5289
0 12 2 5290
3 14 5 5291
4 13 2 5292
0 12 3 5293
2 14 2 5294
9 15 3 5295
0 13 2 5296
0 11 3 5297
3 14 5 5298
0 10 2 5299
5 11 4 5300
2 12 4 5301
3 8 2 5302
2 15 4 5303
3 15 3 5304
0 5 9 5305
2 15 2 5306
1 13 2 5307
2 13 5 5308
0 14 2 5309
7 14 5 5310
1 6 8 5311
4 14 2 5312
0 12 2 5313
2 4 9 5314
7 13 3 5315
1 14 2 5316
5 6 13 5317
3 11 2 5318
3 10 6 5319
3 14 3 5320
0 14 3 5321
0 14 2 5322
1 13 2 5323
0 11 3 5324
0 12 2 5325
0 14 3 5326
0 14 2 5327
0 13 2 5328
6 14 2 5329
1 8 4 5330
3 13 9 5331
0 13 7 5332
0 12 5 5333
0 9 3 5334
0 11 2 5335
13 13 3 5336
0 9 2 5337
0 12 4 5338
0 13 5 5339
0 13 2 5340
0 11 3 5341
1 13 2 5342
0 12 5 5343
5 14 3 5344
1 9 5 5345
2 15 2 5346
0 10 2 5347
6 13 3 5348
0 15 2 5349
3 14 3 5350
5 13 5 5351
0 12 5 5352
1 13 5 5353
0 11 5 5354
0 13 2 5355
6 12 3 5356
0 10 4 5357
0 7 2 5358
2 12 2 5359
0 12 6 5360
5 14 3 5361
4 14 4 5362
0 11 3 5363
0 13 4 5364
4 13 2 5365
0 14 6 5366
6 14 2 5367
4 13 5 5368
0 14 2 5369
0 14 2 5370
0 14 6 5371
0 15 2 5372
0 15 2 5373
0 14 2 5374
3 6 10 5375
2 14 2 5376
0 13 2 5377
0 8 5 5378
1 12 6 5379
0 14 2 5380
5 12 2 5381
0 13 2 5382
0 15 5 5383
8 13 3 5384
0 14 2 5385
2 14 6 5386
0 14 4 5387
1 11 6 5388
1 13 7 5389
0 12 2 5390
2 14 2 5391
5 13 2 5392
3 15 4 5393
0 13 4 5394
0 12 3 5395
8 14 2 5396
0 15 5 5397
0 10 5 5398
0 11 2 5399
1 13 4 5400
0 15 2 5401
0 12 8 5402
0 11 2 5403
0 15 2 5404
0 14 5 5405
0 14 4 5406
0 13 4 5407
5 13 2 5408
0 8 5 5409
0 14 5 5410
0 14 2 5411
1 14 9 5412
0 14 5 5413
0 14 2 5414
4 15 2 5415
0 11 6 5416
0 10 2 5417
0 10 2 5418
0 11 3 5419
0 15 4 5420
0 12 5 5421
0 9 2 5422
2 15 2 5423
3 12 3 5424
0 15 7 5425
3 14 3 5426
0 14 2 5427
1 14 4 5428
0 14 5 5429
5 13 2 5430
0 8 3 5431
0 11 4 5432
0 7 2 5433
5 9 4 5434
0 13 2 5435
1 15 2 5436
5 13 9 5437
3 13 6 5438
4 13 3 5439
3 14 2 5440
0 12 5 5441
0 15 5 5442
13 13 5 5443
0 14 3 5444
1 12 2 5445
0 13 3 5446
0 12 2 5447
0 14 2 5448
0 14 6 5449
4 12 2 5450
0 11 2 5451
0 8 4 5452
8 13 3 5453
0 14 3 5454
15 15 5 5455
4 15 4 5456
0 14 3 5457
3 13 5 5458
0 11 3 5459
0 9 3 5460
0 15 9 5461
0 14 2 5462
3 12 3 5463
5 15 5 5464
0 13 2 5465
0 15 7 5466
0 15 2 5467
3 14 3 5468
0 12 2 5469
0 7 2 5470
0 11 3 5471
2 12 3 5472
3 14 2 5473
1 13 3 5474
2 10 3 5475
3 14 2 5476
0 13 5 5477
0 14 5 5478
5 11 2 5479
0 13 5 5480
0 10 2 5481
0 14 4 5482
0 14 4 5483
0 14 2 5484
1 14 4 5485
0 13 2 5486
1 13 3 5487
0 8 9 5488
0 15 5 5489
0 14 3 5490
1 13 3 5491
0 12 4 5492
4 8 2 5493
0 6 3 5494
0 14 3 5495
1 15 3 5496
8 15 2 5497
1 12 7 5498
0 12 2 5499
1 15 2 5500
7 14 2 5501
0 15 6 5502
0 9 2 5503
1 13 6 5504
1 15 7 5505
0 14 2 5506
1 15 3 5507
0 13 2 5508
0 14 3 5509
0 7 4 5510
0 13 3 5511
0 11 3 5512
20 12 3 5513
1 14 2 5514
0 15 4 5515
1 15 3 5516
4 14 3 5517
0 14 8 5518
1 7 5 5519
1 13 4 5520
7 14 6 5521
0 13 2 5522
2 15 2 5523
1 14 3 5524
0 12 2 5525
0 13 3 5526
3 13 4 5527
2 14 7 5528
1 14 2 5529
3 13 6 5530
0 15 6 5531
0 14 3 5532
6 14 4 5533
0 15 6 5534
1 10 2 5535
0 13 2 5536
1 14 4 5537
0 13 2 5538
3 13 2 5539
0 15 3 5540
0 15 6 5541
3 13 4 5542
0 10 2 5543
4 14 3 5544
0 14 5 5545
1 15 5 5546
2 14 5 5547
8 10 3 5548
0 13 5 5549
0 14 6 5550
8 14 2 5551
1 13 4 5552
2 11 2 5553
0 11 2 5554
0 15 6 5555
0 14 2 5556
0 12 2 5557
0 13 7 5558
0 13 2 5559
0 10 5 5560
0 11 2 5561
9 11 3 5562
6 12 2 5563
0 9 3 5564
0 9 2 5565
3 14 2 5566
0 13 2 5567
0 13 2 5568
0 15 3 5569
7 13 4 5570
7 11 3 5571
0 12 2 5572
0 12 3 5573
0 9 7 5574
3 15 8 5575
4 12 2 5576
1 13 5 5577
0 14 2 5578
0 15 3 5579
13 15 5 5580
0 14 8 5581
0 11 3 5582
0 11 4 5583
4 14 3 5584
3 15 5 5585
0 11 5 5586
0 15 3 5587
10 11 8 5588
0 14 5 5589
1 12 6 5590
0 11 2 5591
1 14 5 5592
0 15 2 5593
19 15 3 5594
4 14 5 5595
2 11 11 5596
0 13 3 5597
0 11 6 5598
16 13 3 5599
0 15 10 5600
0 14 2 5601
1 13 2 5602
2 15 2 5603
5 9 2 5604
0 8 2 5605
1 10 2 5606
3 14 2 5607
2 14 6 5608
0 12 2 5609
0 12 2 5610
0 14 2 5611
0 13 2 5612
0 11 2 5613
0 13 3 5614
9 15 5 5615
0 15 9 5616
3 13 3 5617
4 15 6 5618
0 8 2 5619
0 14 3 5620
1 13 2 5621
2 13 5 5622
1 15 2 5623
0 13 2 5624
3 12 2 5625
12 12 2 5626
1 14 3 5627
0 15 8 5628
0 14 2 5629
3 15 5 5630
0 15 2 5631
3 14 5 5632
0 11 2 5633
0 11 2 5634
2 14 2 5635
0 9 4 5636
0 15 2 5637
0 13 9 5638
0 15 5 5639
0 13 2 5640
0 12 2 5641
0 14 2 5642
1 15 2 5643
3 9 4 5644
2 11 2 5645
0 9 5 5646
3 10 3 5647
2 12 2 5648
0 13 4 5649
2 14 2 5650
4 14 2 5651
0 9 2 5652
0 12 6 5653
0 11 2 5654
0 15 2 5655
2 15 2 5656
1 8 2 5657
4 14 4 5658
0 15 5 5659
0 15 6 5660
0 14 2 5661
0 14 9 5662
3 10 3 5663
0 13 4 5664
2 11 2 5665
0 15 2 5666
2 12 6 5667
0 15 2 5668
3 15 2 5669
0 15 3 5670
0 8 2 5671
9 10 2 5672
0 12 7 5673
2 14 5 5674
1 13 2 5675
0 13 2 5676
0 12 6 5677
2 13 3 5678
1 13 2 5679
0 11 2 5680
3 13 11 5681
8 14 3 5682
0 10 2 5683
0 10 2 5684
1 14 3 5685
3 13 5 5686
1 13 3 5687
1 15 4 5688
0 14 6 5689
1 14 2 5690
0 12 2 5691
1 15 5 5692
0 13 2 5693
1 15 2 5694
4 12 2 5695
0 14 5 5696
3 13 5 5697
0 12 2 5698
0 13 2 5699
0 13 3 5700
0 15 2 5701
1 12 4 5702
0 9 2 5703
2 8 2 5704
2 14 3 5705
3 14 2 5706
0 12 2 5707
0 12 2 5708
0 11 3 5709
2 15 4 5710
0 15 3 5711
21 13 2 5712
0 13 5 5713
0 6 3 5714
1 14 6 5715
0 12 4 5716
19 13 2 5717
15 14 7 5718
0 15 3 5719
0 13 5 5720
2 14 2 5721
0 15 2 5722
0 5 4 5723
0 4 4 5724
0 12 2 5725
1 11 4 5726
0 13 2 5727
0 12 5 5728
3 7 3 5729
0 13 4 5730
0 13 7 5731
1 15 3 5732
0 13 5 5733
0 14 3 5734
1 15 2 5735
0 14 3 5736
0 12 2 5737
0 13 2 5738
1 15 6 5739
2 10 5 5740
0 13 5 5741
0 10 2 5742
2 10 4 5743
4 14 2 5744
0 14 3 5745
0 15 2 5746
2 15 2 5747
0 10 4 5748
0 11 2 5749
4 10 2 5750
7 13 2 5751
2 14 2 5752
1 12 3 5753
2 12 2 5754
0 14 3 5755
2 11 3 5756
8 15 2 5757
4 13 2 5758
2 13 3 5759
7 13 5 5760
2 11 5 5761
2 11 2 5762
1 15 7 5763
1 13 2 5764
0 15 2 5765
0 9 2 5766
3 10 2 5767
1 14 4 5768
0 13 4 5769
0 13 7 5770
0 14 3 5771
0 13 3 5772
0 11 2 5773
3 14 2 5774
16 12 4 5775
0 11 2 5776
4 12 2 5777
5 14 2 5778
2 13 3 5779
0 12 2 5780
3 15 3 5781
3 13 2 5782
0 14 2 5783
4 14 3 5784
0 15 5 5785
2 13 5 5786
0 14 7 5787
0 10 2 5788
1 15 3 5789
1 11 3 5790
10 15 2 5791
0 12 2 5792
6 14 2 5793
0 12 6 5794
3 10 2 5795
3 15 2 5796
0 14 4 5797
4 13 2 5798
0 9 2 5799
0 15 5 5800
0 10 2 5801
3 13 5 5802
1 14 3 5803
1 15 2 5804
0 14 2 5805
0 14 3 5806
2 13 3 5807
0 13 4 5808
0 13 3 5809
0 8 3 5810
0 14 4 5811
2 14 6 5812
0 13 4 5813
2 13 2 5814
1 12 5 5815
5 11 4 5816
2 12 3 5817
0 7 7 5818
0 10 4 5819
1 15 6 5820
11 9 9 5821
1 14 5 5822
0 13 4 5823
0 13 3 5824
0 9 3 5825
0 13 5 5826
0 13 6 5827
0 6 8 5828
0 14 5 5829
10 8 6 5830
0 13 3 5831
2 14 6 5832
0 12 2 5833
1 9 2 5834
0 10 8 5835
0 13 2 5836
0 14 2 5837
3 15 2 5838
0 14 2 5839
4 11 2 5840
0 13 7 5841
0 14 5 5842
2 13 2 5843
0 11 3 5844
0 7 3 5845
0 15 3 5846
6 13 2 5847
0 14 5 5848
1 15 8 5849
0 14 2 5850
0 12 7 5851
0 15 3 5852
0 14 5 5853
0 12 2 5854
0 14 2 5855
1 15 4 5856
1 11 4 5857
1 14 3 5858
0 4 2 5859
2 4 3 5860
3 14 2 5861
1 13 3 5862
0 14 5 5863
0 8 7 5864
2 13 4 5865
2 13 6 5866
0 13 3 5867
2 15 3 5868
3 13 5 5869
1 9 5 5870
0 8 2 5871
0 15 2 5872
1 0 1 5873
2 15 3 5874
5 11 2 5875
1 11 2 5876
2 13 6 5877
2 8 3 5878
0 13 3 5879
0 8 6 5880
3 14 9 5881
0 12 3 5882
11 11 2 5883
1 14 6 5884
0 10 2 5885
0 12 4 5886
2 13 2 5887
0 9 2 5888
3 13 5 5889
2 15 2 5890
0 11 5 5891
8 15 6 5892
3 9 5 5893
0 14 2 5894
0 11 2 5895
0 12 2 5896
0 12 2 5897
0 15 3 5898
4 15 2 5899
2 14 2 5900
0 13 3 5901
0 12 3 5902
0 12 2 5903
4 14 2 5904
0 8 6 5905
0 10 3 5906
0 13 4 5907
0 11 2 5908
0 15 2 5909
5 15 3 5910
0 14 5 5911
4 12 2 5912
2 12 2 5913
2 14 2 5914
0 13 2 5915
4 10 3 5916
0 11 3 5917
0 13 4 5918
1 11 2 5919
1 15 5 5920
0 10 2 5921
0 15 3 5922
1 14 2 5923
0 10 4 5924
0 10 5 5925
0 14 2 5926
0 7 2 5927
4 7 4 5928
0 15 3 5929
0 11 2 5930
2 0 1 5931
1 13 2 5932
0 15 2 5933
0 13 3 5934
1 15 2 5935
0 13 4 5936
0 14 5 5937
0 12 3 5938
2 15 3 5939
4 14 2 5940
0 7 3 5941
3 14 2 5942
9 7 3 5943
0 15 2 5944
0 8 2 5945
0 13 6 5946
1 13 2 5947
0 7 4 5948
7 15 3 5949
3 12 4 5950
2 9 2 5951
0 5 2 5952
3 12 6 5953
7 14 5 5954
3 15 2 5955
0 15 4 5956
0 14 6 5957
0 14 2 5958
1 14 2 5959
0 14 2 5960
0 8 2 5961
1 12 3 5962
1 13 5 5963
4 14 4 5964
8 14 2 5965
1 13 3 5966
0 14 3 5967
3 4 6 5968
0 10 2 5969
0 9 3 5970
1 15 2 5971
0 12 3 5972
0 15 3 5973
0 8 4 5974
0 14 3 5975
3 15 4 5976
0 15 4 5977
0 11 3 5978
0 14 2 5979
0 10 2 5980
3 6 8 5981
0 13 6 5982
0 9 2 5983
0 15 2 5984
0 15 3 5985
0 9 2 5986
0 15 2 5987
4 10 2 5988
0 13 2 5989
0 10 9 5990
0 10 5 5991
0 9 3 5992
0 12 2 5993
0 12 2 5994
5 11 2 5995
1 12 3 5996
10 15 3 5997
0 6 4 5998
1 10 5 5999
10 11 2 6000
0 6 2 6001
0 10 2 6002
0 10 2 6003
0 10 12 6004
2 15 4 6005
0 6 4 6006
6 7 7 6007
1 13 4 6008
0 14 11 6009
6 14 4 6010
5 6 4 6011
0 10 11 6012
1 11 5 6013
0 14 2 6014
1 13 2 6015
7 9 2 6016
0 10 3 6017
4 8 7 6018
1 15 2 6019
0 13 4 6020
5 5 3 6021
0 14 5 6022
8 13 7 6023
0 10 2 6024
12 8 8 6025
1 15 2 6026
6 12 2 6027
0 13 7 6028
2 15 7 6029
0 11 2 6030
2 13 5 6031
6 14 2 6032
0 14 2 6033
0 6 7 6034
0 15 2 6035
0 10 3 6036
0 12 2 6037
1 12 2 6038
0 11 2 6039
0 15 5 6040
3 11 4 6041
0 8 2 6042
0 13 5 6043
0 13 2 6044
3 13 2 6045
3 14 3 6046
1 9 2 6047
0 14 4 6048
3 14 6 6049
0 12 5 6050
6 8 9 6051
3 7 8 6052
0 10 2 6053
2 10 2 6054
0 14 2 6055
0 13 5 6056
0 13 5 6057
0 10 5 6058
7 13 4 6059
0 14 2 6060
0 15 2 6061
1 14 5 6062
0 15 2 6063
0 15 6 6064
0 13 3 6065
4 13 2 6066
0 15 4 6067
3 11 2 6068
3 15 7 6069
0 14 2 6070
0 7 2 6071
0 10 3 6072
0 10 2 6073
1 14 5 6074
1 15 2 6075
0 15 2 6076
2 13 2 6077
0 12 2 6078
3 11 3 6079
1 14 2 6080
0 14 5 6081
0 14 2 6082
0 12 2 6083
0 13 2 6084
5 10 3 6085
0 14 3 6086
3 15 2 6087
1 15 4 6088
0 15 2 6089
0 12 7 6090
0 12 6 6091
1 14 3 6092
1 11 2 6093
3 14 2 6094
0 7 2 6095
1 13 6 6096
4 14 2 6097
0 14 3 6098
0 10 2 6099
0 13 3 6100
0 11 4 6101
1 15 2 6102
0 11 2 6103
1 15 3 6104
0 10 6 6105
5 9 4 6106
3 12 7 6107
6 15 3 6108
0 14 2 6109
0 15 3 6110
1 13 2 6111
1 14 2 6112
0 15 7 6113
0 13 2 6114
0 13 2 6115
0 15 2 6116
0 10 2 6117
1 14 2 6118
2 15 4 6119
3 14 6 6120
0 12 2 6121
0 10 4 6122
12 14 2 6123
7 15 2 6124
0 15 6 6125
2 13 2 6126
0 13 2 6127
1 13 6 6128
7 15 5 6129
8 10 3 6130
1 14 2 6131
0 13 3 6132
0 8 7 6133
0 12 6 6134
0 14 2 6135
0 13 6 6136
0 12 6 6137
2 14 10 6138
0 14 5 6139
0 12 2 6140
0 12 2 6141
0 13 2 6142
0 15 2 6143
1 12 4 6144
9 8 6 6145
10 13 4 6146
1 15 3 6147
0 15 6 6148
0 14 3 6149
1 15 2 6150
5 5 3 6151
5 14 2 6152
0 14 2 6153
1 15 2 6154
0 12 2 6155
2 15 2 6156
0 6 2 6157
4 12 5 6158
0 6 3 6159
12 8 2 6160
3 13 2 6161
0 9 2 6162
1 14 3 6163
1 12 3 6164
3 14 5 6165
1 12 2 6166
0 8 2 6167
13 11 3 6168
0 14 2 6169
0 14 2 6170
0 15 5 6171
0 6 4 6172
1 15 5 6173
0 14 6 6174
0 15 7 6175
0 11 3 6176
0 11 2 6177
0 12 2 6178
6 12 4 6179
0 7 2 6180
2 13 5 6181
0 14 3 6182
1 0 1 6183
0 13 6 6184
0 15 2 6185
0 14 6 6186
0 12 6 6187
0 14 2 6188
0 12 10 6189
0 12 4 6190
3 12 5 6191
0 12 5 6192
2 12 4 6193
0 12 5 6194
0 14 2 6195
1 13 2 6196
1 14 3 6197
3 11 2 6198
3 14 3 6199
5 14 2 6200
2 12 3 6201
1 10 2 6202
0 10 2 6203
0 12 2 6204
0 11 2 6205
4 11 3 6206
0 13 4 6207
0 11 3 6208
0 14 3 6209
0 11 3 6210
0 12 3 6211
1 12 2 6212
0 14 3 6213
5 12 2 6214
2 15 6 6215
1 13 2 6216
4 15 5 6217
0 12 5 6218
5 14 5 6219
0 15 7 6220
4 13 3 6221
1 14 2 6222
2 12 3 6223
0 14 2 6224
3 15 9 6225
0 10 3 6226
0 13 3 6227
0 14 3 6228
1 10 2 6229
1 13 5 6230
0 13 10 6231
0 15 5 6232
0 12 4 6233
2 15 2 6234
1 9 6 6235
3 15 2 6236
0 5 2 6237
2 11 2 6238
0 13 3 6239
0 14 3 6240
4 14 3 6241
0 12 6 6242
4 15 2 6243
3 15 5 6244
0 12 5 6245
2 8 2 6246
0 15 3 6247
2 14 5 6248
0 14 2 6249
1 14 2 6250
1 12 4 6251
0 10 2 6252
0 13 3 6253
0 15 2 6254
0 15 2 6255
3 13 2 6256
0 9 6 6257
0 15 4 6258
0 15 5 6259
10 13 3 6260
0 11 3 6261
0 12 2 6262
9 14 2 6263
0 7 2 6264
1 13 5 6265
1 13 6 6266
0 15 5 6267
0 12 6 6268
5 12 3 6269
0 10 2 6270
5 9 5 6271
0 14 3 6272
2 13 5 6273
0 14 2 6274
3 14 6 6275
3 12 2 6276
6 14 4 6277
0 13 4 6278
1 14 3 6279
3 13 2 6280
5 15 2 6281
1 13 2 6282
1 14 2 6283
0 8 5 6284
3 14 3 6285
3 9 3 6286
0 9 2 6287
0 13 4 6288
0 14 4 6289
2 15 2 6290
0 13 5 6291
1 14 2 6292
0 15 2 6293
3 14 6 6294
0 13 2 6295
0 15 5 6296
0 12 3 6297
0 15 6 6298
8 14 2 6299
5 6 3 6300
0 8 2 6301
1 10 7 6302
6 13 2 6303
2 11 2 6304
0 15 2 6305
1 8 5 6306
0 14 2 6307
0 10 3 6308
9 10 2 6309
0 14 2 6310
0 13 2 6311
0 13 5 6312
0 15 6 6313
0 14 4 6314
4 15 2 6315
1 15 5 6316
3 15 6 6317
0 11 2 6318
0 12 6 6319
0 15 3 6320
0 10 6 6321
3 11 2 6322
0 12 3 6323
0 12 2 6324
3 13 3 6325
0 9 2 6326
0 15 2 6327
0 12 4 6328
0 14 3 6329
0 13 5 6330
1 10 5 6331
2 14 3 6332
0 12 4 6333
8 12 2 6334
0 11 2 6335
0 15 4 6336
0 14 2 6337
0 12 2 6338
1 15 2 6339
0 11 3 6340
2 15 2 6341
0 8 2 6342
0 9 2 6343
4 13 3 6344
0 15 3 6345
2 13 2 6346
0 14 6 6347
0 14 2 6348
0 13 2 6349
0 12 3 6350
4 12 2 6351
0 13 2 6352
0 13 2 6353
2 13 2 6354
1 15 2 6355
0 13 5 6356
0 14 2 6357
0 13 4 6358
0 14 5 6359
0 15 2 6360
0 14 5 6361
0 11 2 6362
0 15 2 6363
3 14 3 6364
0 8 2 6365
0 15 5 6366
4 14 7 6367
3 9 2 6368
4 7 3 6369
0 13 3 6370
1 15 5 6371
6 14 5 6372
1 14 6 6373
1 15 4 6374
0 15 5 6375
0 15 6 6376
3 15 3 6377
0 12 2 6378
0 11 6 6379
0 11 6 6380
2 13 8 6381
0 14 2 6382
0 14 2 6383
0 14 4 6384
0 15 2 6385
0 10 6 6386
16 13 2 6387
0 15 5 6388
0 14 2 6389
0 14 3 6390
0 14 2 6391
2 9 6 6392
0 14 2 6393
0 13 3 6394
3 10 6 6395
0 13 2 6396
1 9 6 6397
0 10 2 6398
0 14 2 6399
7 11 3 6400
2 10 7 6401
3 14 2 6402
1 13 9 6403
0 12 2 6404
2 11 2 6405
0 14 4 6406
0 14 2 6407
0 15 3 6408
0 10 5 6409
3 14 2 6410
0 14 3 6411
2 14 2 6412
0 10 8 6413
0 8 4 6414
2 13 2 6415
0 10 5 6416
0 9 5 6417
0 13 9 6418
0 13 2 6419
0 15 2 6420
1 15 7 6421
0 14 4 6422
1 14 3 6423
5 15 2 6424
0 12 6 6425
1 14 6 6426
1 14 2 6427
2 8 3 6428
15 3 9 6429
0 13 2 6430
0 12 3 6431
0 4 7 6432
1 13 5 6433
1 14 3 6434
0 14 8 6435
0 10 3 6436
2 15 9 6437
3 13 9 6438
3 10 4 6439
0 15 2 6440
9 10 5 6441
0 12 5 6442
0 14 3 6443
0 12 6 6444
5 13 4 6445
2 13 3 6446
0 14 7 6447
7 14 3 6448
0 11 6 6449
7 14 3 6450
0 11 3 6451
2 10 11 6452
2 15 5 6453
3 13 11 6454
2 14 14 6455
0 12 2 6456
0 15 5 6457
0 12 5 6458
0 12 3 6459
0 10 2 6460
2 10 2 6461
1 15 2 6462
0 12 2 6463
0 12 15 6464
0 9 2 6465
0 13 3 6466
0 15 6 6467
2 11 3 6468
6 12 4 6469
0 14 2 6470
0 12 2 6471
0 10 2 6472
0 14 2 6473
0 14 8 6474
1 14 2 6475
0 11 2 6476
0 11 2 6477
0 13 2 6478
0 13 2 6479
0 12 4 6480
0 14 3 6481
0 10 3 6482
0 14 3 6483
7 12 5 6484
0 15 4 6485
0 10 5 6486
1 14 5 6487
1 14 2 6488
2 14 2 6489
2 5 5 6490
0 14 5 6491
3 15 3 6492
0 12 4 6493
1 13 2 6494
0 12 7 6495
3 4 12 6496
0 14 2 6497
0 12 3 6498
0 10 2 6499
0 5 5 6500
0 14 7 6501
1 11 5 6502
0 7 4 6503
0 12 5 6504
1 13 8 6505
16 14 5 6506
0 13 2 6507
1 14 6 6508
0 9 4 6509
5 14 9 6510
0 12 6 6511
0 8 15 6512
1 14 9 6513
1 14 7 6514
1 11 2 6515
0 14 5 6516
0 9 5 6517
0 6 2 6518
2 12 9 6519
0 14 2 6520
1 15 2 6521
4 15 2 6522
4 14 2 6523
2 15 7 6524
0 14 2 6525
0 14 2 6526
0 11 2 6527
0 14 2 6528
0 11 11 6529
0 14 2 6530
8 14 3 6531
3 14 7 6532
0 9 6 6533
4 9 5 6534
2 12 2 6535
0 13 7 6536
0 9 12 6537
0 12 5 6538
0 14 7 6539
0 14 5 6540
0 8 2 6541
1 15 4 6542
0 15 2 6543
3 13 2 6544
0 13 4 6545
0 12 2 6546
0 10 2 6547
0 11 7 6548
0 15 5 6549
0 5 2 6550
0 14 6 6551
0 11 2 6552
0 14 5 6553
0 10 2 6554
0 9 11 6555
0 10 2 6556
0 12 4 6557
4 13 2 6558
4 13 2 6559
2 14 5 6560
0 12 9 6561
1 10 2 6562
3 15 3 6563
0 11 4 6564
0 13 6 6565
0 15 2 6566
0 12 7 6567
0 13 7 6568
1 13 7 6569
2 14 3 6570
0 15 5 6571
4 12 8 6572
3 11 2 6573
0 10 8 6574
2 14 2 6575
0 15 6 6576
2 14 6 6577
0 13 4 6578
1 15 4 6579
0 15 3 6580
0 14 2 6581
0 12 6 6582
0 7 7 6583
1 12 3 6584
0 9 3 6585
1 14 2 6586
0 15 2 6587
0 14 2 6588
3 12 2 6589
0 12 3 6590
2 15 2 6591
1 11 8 6592
0 12 3 6593
0 15 6 6594
1 15 3 6595
0 13 5 6596
0 14 3 6597
0 12 3 6598
2 14 3 6599
0 10 2 6600
0 11 2 6601
5 11 5 6602
0 15 6 6603
0 15 3 6604
1 12 12 6605
6 14 3 6606
0 12 2 6607
0 12 5 6608
0 13 5 6609
0 12 10 6610
0 13 2 6611
4 14 8 6612
0 11 4 6613
0 8 3 6614
0 11 3 6615
0 14 3 6616
0 12 2 6617
